vi,ji,e,b,pR,pR_err,pQ,pQ_err,pDiss,pDiss_err
0.0,0,5000.0,0.0,0.0,0.0,0.9868380777471687,0.0,0.013161922252831344,0.001151191078597769
0.0,0,5000.0,0.25,0.0,0.0,0.9849142384790246,0.0,0.015085761520975408,0.0012390533837979638
0.0,0,5000.0,0.5,0.0,0.0,0.9798188874514877,0.0,0.02018111254851229,0.0015993949067986543
0.0,0,5000.0,0.75,0.0,0.0,0.9792030250145434,0.0,0.02079697498545666,0.0017209510750769345
0.0,0,5000.0,1.0,0.0,0.0,0.9783659378596088,0.0,0.021634062140391253,0.0015606654291626082
0.0,0,5000.0,1.25,0.0,0.0,0.9747060919130744,0.0,0.025293908086925544,0.0017110510793944293
0.0,0,5000.0,1.5,0.0,0.0,0.9725878517087309,0.0,0.02741214829126917,0.0017942979637245561
0.0,0,5000.0,1.75,0.0,0.0,0.9758585515130908,0.0,0.024141448486909214,0.002001301809910937
0.0,0,5000.0,2.0,0.0,0.0,0.9750432419075858,0.0,0.024956758092414134,0.0017339015024801147
0.0,0,5000.0,2.25,0.0,0.0,0.9716842363324344,0.0,0.02831576366756558,0.0018364743526628003
0.0,0,5000.0,2.5,0.0,0.0,0.9741400643405098,0.0,0.025859935659490227,0.0017654889333737099
0.0,0,5000.0,2.75,0.0,0.0,0.9692955305187569,0.0,0.030704469481243037,0.0019195695963743554
0.0,0,5000.0,3.0,0.0,0.0,0.9695249845774213,0.0,0.030475015422578654,0.001909303462257844
0.0,0,5000.0,3.25,0.0,0.0,0.965983052928896,0.0,0.03401694707110402,0.0020088162060789543
0.0,0,5000.0,3.5,0.0,0.0,0.9709086407526616,0.0,0.02909135924733845,0.0018699038052031286
0.0,0,5000.0,3.75,0.0,0.0,0.9738810545677499,0.0,0.026118945432250153,0.0017661142513887907
0.0,0,5000.0,4.0,0.0,0.0,0.9667932851366254,0.0,0.033206714863374585,0.001983389821947594
0.0,0,5000.0,4.25,0.0,0.0,0.9706744868035191,0.0,0.02932551319648094,0.001864991288554365
0.0,0,5000.0,4.5,0.0,0.0,0.968814715556097,0.0,0.031185284443903033,0.0019184482577421272
0.0,0,5000.0,4.75,0.0,0.0,0.9679961207419081,0.0,0.03200387925809189,0.0019379272442336286
0.0,0,10000.0,0.0,0.0,0.0,0.9896179820582602,0.0,0.010382017941739744,0.0010176465199628476
0.0,0,10000.0,0.25,0.0,0.0,0.9879407256004088,0.0,0.01205927439959121,0.001103432110340488
0.0,0,10000.0,0.5,0.0,0.0,0.9861010268644331,0.0,0.01389897313556685,0.0011923150389450594
0.0,0,10000.0,0.75,0.0,0.0,0.9821256555710157,0.0001070262744907051,0.017767312426415497,0.0013667053252091352
0.0,0,10000.0,1.0,0.0,0.0,0.9812165556404936,0.0,0.01878344435950639,0.0014187093889880828
0.0,0,10000.0,1.25,0.0,0.0,0.9846308052121617,0.0,0.015369194787838289,0.0012982199572069988
0.0,0,10000.0,1.5,0.0,0.0,0.9800828018350677,0.0,0.019917198164932304,0.0014779155799550172
0.0,0,10000.0,1.75,0.0,0.0,0.981094082112093,0.0,0.018905917887906926,0.00144048832616697
0.0,0,10000.0,2.0,0.0,0.0,0.9794358916732218,0.0,0.02056410832677829,0.0015044312482707337
0.0,0,10000.0,2.25,0.0,0.0,0.979812788992895,0.0,0.020187211007104997,0.0014935554774542633
0.0,0,10000.0,2.5,0.0,0.0,0.9775744728327569,0.0,0.02242552716724311,0.0015639380950388442
0.0,0,10000.0,2.75,0.0,0.0,0.9795623680995224,0.0,0.020437631900477617,0.0014912062237133652
0.0,0,10000.0,3.0,0.0,0.0,0.9753525036083046,0.0,0.024647496391695348,0.0016337181202888361
0.0,0,10000.0,3.25,0.0,0.0,0.9787327823691461,0.0,0.021267217630853995,0.0015144819036139725
0.0,0,10000.0,3.5,0.0,0.0,0.9764239286107745,0.0,0.023576071389225513,0.0015925158304971447
0.0,0,10000.0,3.75,0.0,0.0,0.9802966331059868,0.0,0.019703366894013207,0.0014460506528989564
0.0,0,10000.0,4.0,0.0,0.0,0.9788884101680311,0.0,0.02111158983196898,0.0014919679614415595
0.0,0,10000.0,4.25,0.0,0.0,0.9814576634512325,0.0,0.018542336548767416,0.001396616578568597
0.0,0,10000.0,4.5,0.0,0.0,0.9824468085106383,0.0,0.017553191489361703,0.0013544676648394717
0.0,0,10000.0,4.75,0.0,0.0,0.9827150084317032,0.0,0.017284991568296795,0.001338015185596437
0.0,0,20000.0,0.0,0.0005088540606554041,0.00022755487394439898,0.9906370852839406,0.00022755487394439898,0.00885406065540403,0.0009450432174310237
0.0,0,20000.0,0.25,0.0011307565789473685,0.0003409184126239784,0.98828125,0.0003409184126239784,0.010587993421052632,0.0010377282473431665
0.0,0,20000.0,0.5,0.0018773466833541927,0.00044247178075946137,0.986232790988736,0.00044247178075946137,0.011889862327909888,0.0011069476377731288
0.0,0,20000.0,0.75,0.002343417128248828,0.0004995916003478368,0.9833830421815083,0.0004995916003478368,0.014273540690242864,0.0012242145176288711
0.0,0,20000.0,1.0,0.005086029650470728,0.0007418318221091932,0.9824694297153987,0.0007418318221091932,0.012444540634130506,0.0011532161002757836
0.0,0,20000.0,1.25,0.0046922741161065035,0.0007155224190305343,0.9804670449585334,0.0007155224190305343,0.014840680925360105,0.0012630996320097685
0.0,0,20000.0,1.5,0.0030484485574305935,0.0005760690241395135,0.9847577572128471,0.0005760690241395135,0.012193794229722374,0.0011451588290809504
0.0,0,20000.0,1.75,0.004439631835408771,0.0006933146333550193,0.9841905793178126,0.0006933146333550193,0.01136978884677856,0.0011032519116447176
0.0,0,20000.0,2.0,0.002765663227316243,0.0005423623349419106,0.985214338900117,0.0005423623349419106,0.012019997872566749,0.0011239299547137654
0.0,0,20000.0,2.25,0.0018838304552590266,0.00044399986078094694,0.984196755625327,0.00044399986078094694,0.01391941391941392,0.001198536690025335
0.0,0,20000.0,2.5,0.0008281573498964803,0.00029278268344075587,0.9872670807453416,0.00029278268344075587,0.011904761904761904,0.0011034971019029279
0.0,0,20000.0,2.75,0.0009251644736842105,0.00030837230694471764,0.9869449013157895,0.00030837230694471764,0.012129934210526315,0.0011098578409300315
0.0,0,20000.0,3.0,0.0003061536891519543,0.00017674889543387536,0.9871415450556179,0.00017674889543387536,0.012552301255230125,0.0011246770913896716
0.0,0,20000.0,3.25,0.000304228780042592,0.00017563766170349934,0.9886421255450766,0.00017563766170349934,0.011053645674880843,0.0010528794689641419
0.0,0,20000.0,3.5,0.00010088781275221953,0.00010088272344847315,0.9916263115415658,0.00010088272344847315,0.008272800645682001,0.0009097912278122253
0.0,0,20000.0,3.75,0.0,0.0,0.9930541574390981,0.0,0.006945842560901953,0.0008332721304160346
0.0,0,20000.0,4.0,0.0,0.0,0.9927747114902158,0.0,0.007225288509784245,0.0008484266431248707
