e,b,vi,ji,n12,n23,n31,nd,nc,v,vw,j,jw,delta_e
20000.0,0.0,3.0,3,0,1,0,0,0,2.0,7.175e-17,25.0,1.454e-13,6.364139423786774e-10
20000.0,0.0,3.0,3,0,1,0,0,0,3.0,2.150e-28,20.0,1.871e+00,1.7124015608271925e-09
20000.0,0.0,3.0,3,0,1,0,0,0,0.0,1.056e+01,34.0,2.281e-20,7.548886099550955e-10
20000.0,0.0,3.0,3,1,0,0,0,0,1.0,1.859e-04,3.0,6.410e-32,-1.2690357500955152e-08
20000.0,0.0,3.0,3,1,0,0,0,0,2.0,4.453e-27,9.0,1.990e-28,-1.0355294816077887e-09
20000.0,0.0,3.0,3,1,0,0,0,0,2.0,2.868e-01,3.0,1.086e+01,2.817687430600735e-09
20000.0,0.0,3.0,3,1,0,0,0,0,4.0,9.758e-32,5.0,4.626e+00,2.7779307465447545e-09
20000.0,0.0,3.0,3,1,0,0,0,0,3.0,7.973e-13,15.0,4.663e-08,-7.671934199038333e-09
20000.0,0.0,3.0,3,1,0,0,0,0,1.0,1.141e-19,14.0,5.383e-26,-7.543762919892671e-09
20000.0,0.0,3.0,3,1,0,0,0,0,4.0,4.332e-06,4.0,2.020e-02,3.835736034352166e-09
20000.0,0.25,3.0,3,0,0,1,0,0,0.0,9.594e-24,35.0,1.091e+01,-3.631262082692821e-09
20000.0,0.25,3.0,3,0,1,0,0,0,4.0,9.140e+00,6.0,7.374e+00,2.120327607935124e-09
20000.0,0.25,3.0,3,0,1,0,0,0,4.0,5.553e-18,5.0,7.271e+00,1.5967469430000492e-09
20000.0,0.25,3.0,3,0,1,0,0,0,-0.0,4.524e-22,36.0,1.457e-28,4.077961440751565e-10
20000.0,0.25,3.0,3,1,0,0,0,0,5.0,1.490e+00,8.0,2.385e-39,9.214420407244184e-10
20000.0,0.25,3.0,3,1,0,0,0,0,3.0,6.522e+00,16.0,2.696e-04,-8.019664807235038e-09
20000.0,0.25,3.0,3,1,0,0,0,0,7.0,4.886e-28,9.0,7.011e-10,1.3803897469522042e-09
20000.0,0.25,3.0,3,1,0,0,0,0,6.0,4.288e-03,6.0,1.082e+01,3.663553106714179e-09
20000.0,0.25,3.0,3,0,0,0,0,1,0,0.000e+00,0,0.000e+00,-5.035415334697646e-09
20000.0,0.25,3.0,3,1,0,0,0,0,3.0,2.717e-03,14.0,1.290e-32,-5.576993492018012e-09
20000.0,0.5,3.0,3,1,0,0,0,0,0.0,1.958e-04,11.0,2.176e-01,-2.1621280238415252e-08
20000.0,0.5,3.0,3,0,0,1,0,0,4.0,2.003e-23,19.0,1.863e-16,1.0520626106402808e-09
20000.0,0.5,3.0,3,1,0,0,0,0,0.0,2.436e-09,3.0,3.329e+00,-1.4595238323478199e-08
20000.0,0.5,3.0,3,1,0,0,0,0,1.0,1.590e-13,5.0,4.082e-28,-4.523437027725841e-09
20000.0,0.5,3.0,3,1,0,0,0,0,2.0,2.871e+00,10.0,1.161e-30,-1.685595954481478e-09
20000.0,0.5,3.0,3,1,0,0,0,0,4.0,1.111e-07,5.0,1.127e+01,3.184576879977641e-09
20000.0,0.5,3.0,3,1,0,0,0,0,4.0,2.385e+00,16.0,1.112e-31,-5.842918739118463e-09
20000.0,0.5,3.0,3,1,0,0,0,0,6.0,6.599e-02,7.0,9.382e-31,3.3761173648394482e-09
20000.0,0.5,3.0,3,1,0,0,0,0,2.0,7.702e-38,7.0,1.080e-07,-1.483282885406112e-09
20000.0,0.5,3.0,3,1,0,0,0,0,4.0,1.410e-01,16.0,1.642e-12,-6.513504971494832e-09
20000.0,0.75,3.0,3,0,1,0,0,0,3.0,2.022e-37,9.0,9.752e-08,2.0189555097194223e-09
20000.0,0.75,3.0,3,0,1,0,0,0,2.0,1.914e-17,22.0,6.648e-21,-3.017004424066272e-10
20000.0,0.75,3.0,3,0,0,1,0,0,-0.0,4.770e-18,9.0,1.158e-01,4.0675783574695146e-10
20000.0,0.75,3.0,3,1,0,0,0,0,0.0,1.091e+01,24.0,1.049e+01,-2.332752101208424e-08
20000.0,0.75,3.0,3,1,0,0,0,0,3.0,1.979e-03,5.0,2.848e+00,3.0510733800559464e-09
20000.0,0.75,3.0,3,1,0,0,0,0,2.0,9.391e-12,17.0,3.675e-25,-1.1279163554533955e-08
20000.0,0.75,3.0,3,1,0,0,0,0,4.0,2.269e-12,7.0,9.832e-31,1.7618513800665703e-09
20000.0,0.75,3.0,3,1,0,0,0,0,6.0,6.440e-05,3.0,9.555e-11,6.2015206581111926e-09
20000.0,0.75,3.0,3,0,0,1,0,0,2.0,8.588e-05,2.0,3.696e-01,1.0112204754109122e-09
20000.0,0.75,3.0,3,1,0,0,0,0,1.0,3.429e-13,13.0,8.680e-32,-1.2842691715642118e-08
20000.0,1.0,3.0,3,0,1,0,0,0,2.0,4.311e+00,12.0,1.029e-03,-2.1563946461800043e-10
20000.0,1.0,3.0,3,0,1,0,0,0,3.0,1.784e-20,18.0,4.871e-41,7.433515816779313e-10
20000.0,1.0,3.0,3,0,0,0,0,1,0,0.000e+00,0,0.000e+00,-1.3049966662848078e-10
20000.0,1.0,3.0,3,0,0,1,0,0,3.0,1.473e-09,15.0,2.960e-12,1.0202018813076918e-09
20000.0,1.0,3.0,3,1,0,0,0,0,0.0,2.019e-28,8.0,4.527e-05,-6.5449709818476975e-09
20000.0,1.0,3.0,3,1,0,0,0,0,3.0,4.070e+00,6.0,5.242e-39,1.8738015306052347e-09
20000.0,1.0,3.0,3,1,0,0,0,0,4.0,1.145e-33,12.0,2.513e+00,-3.799946510230079e-09
20000.0,1.0,3.0,3,1,0,0,0,0,4.0,1.221e-27,4.0,2.384e+00,4.033046854812206e-09
20000.0,1.0,3.0,3,0,1,0,0,0,-0.0,1.436e-01,33.0,1.272e-27,-2.9101182574819973e-10
20000.0,1.0,3.0,3,1,0,0,0,0,1.0,1.892e-32,9.0,4.292e-11,-1.7468550647659065e-08
20000.0,1.25,3.0,3,0,0,1,0,0,1.0,5.193e-32,20.0,1.823e+00,-1.1846048447727853e-09
20000.0,1.25,3.0,3,0,1,0,0,0,3.0,3.444e-07,14.0,1.053e+01,1.4778692158934348e-09
20000.0,1.25,3.0,3,0,1,0,0,0,3.0,8.853e+00,16.0,2.235e-22,1.3727197781254752e-09
20000.0,1.25,3.0,3,1,0,0,0,0,0.0,3.652e-08,8.0,3.784e-41,-1.7531367149659083e-08
20000.0,1.25,3.0,3,0,0,0,0,1,0,0.000e+00,0,0.000e+00,-5.453027543400601e-10
20000.0,1.25,3.0,3,1,0,0,0,0,6.0,1.027e-08,7.0,2.293e-30,9.831054650910609e-10
20000.0,1.25,3.0,3,1,0,0,0,0,2.0,4.646e-22,8.0,1.204e-30,9.043539528352795e-11
20000.0,1.25,3.0,3,1,0,0,0,0,3.0,3.699e-39,9.0,1.383e-02,-1.9947124507702085e-10
20000.0,1.25,3.0,3,1,0,0,0,0,-0.0,6.899e-10,13.0,2.823e-27,-2.9001505502668223e-09
20000.0,1.25,3.0,3,1,0,0,0,0,6.0,3.094e-10,13.0,6.049e-05,-7.150125075350289e-10
20000.0,1.5,3.0,3,0,1,0,0,0,3.0,1.112e-37,22.0,8.835e+00,8.218302149920476e-10
20000.0,1.5,3.0,3,0,0,1,0,0,3.0,1.881e-17,16.0,3.621e+00,1.8059330628150683e-09
20000.0,1.5,3.0,3,0,0,1,0,0,1.0,4.442e-17,24.0,1.434e-17,-1.774095176321211e-10
20000.0,1.5,3.0,3,0,1,0,0,0,1.0,7.094e-04,24.0,7.075e-01,2.0707522918606003e-09
20000.0,1.5,3.0,3,1,0,0,0,0,2.0,2.149e-11,0.0,1.726e-06,1.663328016987542e-09
20000.0,1.5,3.0,3,1,0,0,0,0,4.0,1.894e-32,7.0,2.949e-07,1.524527129537212e-09
20000.0,1.5,3.0,3,1,0,0,0,0,2.0,1.297e-28,14.0,2.019e-03,-8.32103577708132e-09
20000.0,1.5,3.0,3,1,0,0,0,0,6.0,9.342e-15,5.0,1.617e-03,1.7643667360456305e-09
20000.0,1.5,3.0,3,0,1,0,0,0,2.0,1.488e-01,11.0,5.317e-16,2.474722718415201e-10
20000.0,1.5,3.0,3,1,0,0,0,0,-0.0,7.041e-31,5.0,9.947e-22,-7.068728644088473e-09
20000.0,1.75,3.0,3,0,1,0,0,0,-0.0,4.926e-11,25.0,3.571e-38,-1.47977879949579e-09
20000.0,1.75,3.0,3,0,0,1,0,0,3.0,3.103e-01,16.0,1.349e-28,9.092480310335382e-10
20000.0,1.75,3.0,3,0,0,1,0,0,2.0,9.787e-21,3.0,2.222e-01,-7.893664819014212e-10
20000.0,1.75,3.0,3,0,0,0,1,0,0,0.000e+00,0,0.000e+00,-1.1240936237388865e-09
20000.0,1.75,3.0,3,0,0,1,0,0,3.0,1.646e-04,30.0,3.033e-02,3.320381469773537e-10
20000.0,1.75,3.0,3,1,0,0,0,0,-0.0,9.521e+00,5.0,7.791e-28,-1.2639714788709178e-08
20000.0,1.75,3.0,3,1,0,0,0,0,0.0,2.089e-34,15.0,4.106e-36,-2.3001541740730325e-08
20000.0,1.75,3.0,3,1,0,0,0,0,3.0,7.471e-13,10.0,5.214e+00,-1.5519148188758436e-09
20000.0,1.75,3.0,3,1,0,0,0,0,2.0,2.054e-20,17.0,8.214e+00,-1.2178421882058643e-08
20000.0,1.75,3.0,3,1,0,0,0,0,4.0,2.265e-07,12.0,1.576e-21,-3.792881092534728e-09
20000.0,2.0,3.0,3,0,1,0,0,0,1.0,8.575e-21,28.0,1.826e-09,-1.6302293959213898e-09
20000.0,2.0,3.0,3,0,0,1,0,0,3.0,4.935e-26,9.0,4.077e-27,1.8110955651851057e-09
20000.0,2.0,3.0,3,1,0,0,0,0,-0.0,5.303e-26,8.0,3.468e-15,-8.003076090723482e-09
