vi,ji,e,b,n12,n23,n31,nd,nc,time
3.0,3,20000.0,0.0,7,3,0,0,0,16.988107919692993
3.0,3,20000.0,0.25,5,3,1,0,1,17.092880249023438
3.0,3,20000.0,0.5,9,0,1,0,0,17.56553077697754
3.0,3,20000.0,0.75,6,2,2,0,0,17.379914045333862
3.0,3,20000.0,1.0,5,3,1,0,1,17.58962607383728
3.0,3,20000.0,1.25,6,2,1,0,1,17.089537858963013
3.0,3,20000.0,1.5,5,3,2,0,0,15.907871007919312
3.0,3,20000.0,1.75,5,1,3,1,0,16.766434907913208
3.0,3,20000.0,2.0,5,2,2,0,1,17.292166233062744
3.0,3,20000.0,2.25,4,2,4,0,0,14.188309669494629
3.0,3,20000.0,2.5,6,2,2,0,0,15.35728120803833
3.0,3,20000.0,2.75,8,1,1,0,0,18.37718176841736
3.0,3,20000.0,3.0,7,2,1,0,0,17.69512367248535
3.0,3,20000.0,3.25,7,2,1,0,0,18.33900737762451
3.0,3,20000.0,3.5,7,2,1,0,0,19.20496106147766
3.0,3,20000.0,3.75,8,1,1,0,0,17.85454559326172
3.0,3,20000.0,4.0,6,1,1,0,2,20.47744584083557
3.0,3,20000.0,4.25,8,2,0,0,0,21.933289289474487
3.0,3,20000.0,4.5,10,0,0,0,0,23.324445724487305
3.0,3,20000.0,4.75,10,0,0,0,0,23.503943920135498
