e,b,h2,cah1,cah2,diss,v,w,j,d_i,theta,phi,eta,n_i,j_i,rho1x,rho1y,rho1z,rho2x,rho2y,rho2z,p1x,p1y,p1z,tf
80000.0,0.0,0,0,0,1,0,0,0,33.56989018759295,2.716151051901478,3.6361299359724266,0.10834270057004279,2.0,0,-23.396949366534592,-12.616348199864758,36.30992314009471,-23.396949366534592,-12.616348199864758,36.30992314009471,-3.42133760240982,-1.8448895120930877,12.769471145032162,5733.232694211458
80000.0,0.0,0,0,0,1,0,0,0,33.0334061805178,1.719387998436542,1.0808890926583028,3.0177501166551823,2.0,0,21.058198132597354,39.48888525184952,4.709589469851389,21.058198132597354,39.48888525184952,4.709589469851389,5.751155567408426,10.784717706467665,1.5146214819455097,5605.96400188918
80000.0,0.0,0,0,0,1,0,0,0,32.97799393210276,1.2909493675728494,0.9220946941580617,4.702815064930836,2.0,0,26.361985322969254,34.771110237347315,-11.000710099525108,26.361985322969254,34.771110237347315,-11.000710099525108,6.349226517271891,8.374545864024617,-3.121446469527689,6004.982586653445
80000.0,0.0,1,0,0,0,1.0,3.5139383572610314,6.0,31.099468975891632,1.3973177811778255,0.4117421948564522,1.0460254970996352,2.0,0,-1.178120140150726,-0.5144898710287286,-0.05586212755320042,-1.178120140150726,-0.5144898710287286,-0.05586212755320042,6.246897053148151,2.7280454256496682,-4.3585767366093915,5850.795372021774
80000.0,0.0,1,0,0,0,6.0,3.655961979857099,5.0,33.7301371906142,0.9624129241922252,3.768451304662048,5.714686024332018,2.0,0,-1.5345524959682748,-1.1114984582731584,2.256198116087152,-1.5345524959682748,-1.1114984582731584,2.256198116087152,1.8306246464715474,1.3259477779846724,0.3041845271518374,6550.747106365488
80000.0,0.0,0,0,0,1,0,0,0,34.35552516784998,1.6334373404317852,0.4795988202114041,3.7303863005457925,2.0,0,26.21574668977589,13.634837034565669,-3.9415489939213493,26.21574668977589,13.634837034565669,-3.9415489939213493,4.564118394050396,2.373802708950144,-0.846538095026644,7206.24050814744
80000.0,0.25,1,0,0,0,7.0,0.06728714764218337,5.0,33.30829487273737,0.7362342837153538,2.1552682662417526,5.3360393836243105,2.0,0,0.03894594538808996,-0.1888953537889355,-1.1939765145550434,0.03894594538808996,-0.1888953537889355,-1.1939765145550434,2.767082027222098,-6.17862441969764,-12.484305945796473,6638.09355497138
80000.0,0.25,0,0,0,1,0,0,0,32.83359860844481,2.5248403063852285,3.1801932425535293,3.3067721609050396,2.0,0,-1.9237012305676016,-5.502141061720922,31.51458813023648,-1.9237012305676016,-5.502141061720922,31.51458813023648,0.35491993456260784,-1.5716257621613245,9.25941559548145,5966.974351916324
80000.0,0.25,0,0,0,1,0,0,0,31.999160042938993,2.418816120172472,5.268950376004511,4.555047822199795,2.0,0,22.089560917414804,-39.18979724461989,-1.1004955253905195,22.089560917414804,-39.18979724461989,-1.1004955253905195,6.0130045967526105,-10.697070205476312,-0.16147764715584506,5562.958712464447
80000.0,0.25,1,0,0,0,2.0,3.747202793602768,4.0,30.500474087248406,1.4809499509618105,0.2311427145214745,5.421363074520603,2.0,0,1.7957425125546806,0.16436936829818174,1.0225973900257865,1.7957425125546806,0.16436936829818174,1.0225973900257865,-3.697917059452897,-0.8975251590500675,0.1520435474354701,5860.362038567965
