e,b,h2,cah1,cah2,diss,v,w,j,d_i,theta,phi,eta,n_i,j_i,rho1x,rho1y,rho1z,rho2x,rho2y,rho2z,p1x,p1y,p1z,tf
20000,0,1,0,0,0,1,9.98E-05,5,31.04596165,1.098188143,5.827265212,3.504176758,0,0,1.199665076,-0.588288874,1.109678229,1.199665076,-0.588288874,1.109678229,0.989123661,-0.485044081,4.801556898,15298.53983
20000,0,1,0,0,0,0,3.68917336,1,30.09040053,2.309153874,4.352332062,3.664722952,0,0,-0.505489919,-1.342717417,0.729878882,-0.505489919,-1.342717417,0.729878882,-0.490929336,-1.304040585,1.972150564,25218.54092
20000,0,1,0,0,0,1,0.00052709,0,30.7617707,0.726385557,1.722268951,5.714437837,0,0,0.287653013,-1.884496792,0.603647893,0.287653013,-1.884496792,0.603647893,-0.005921652,0.038794431,-0.040500854,24037.05034
20000,0,1,0,0,0,2,3.210806381,1,31.3444119,1.371443017,5.090442487,2.799690755,0,0,0.574587297,-1.446749373,1.353966481,0.574587297,-1.446749373,1.353966481,0.524419617,-1.320432518,2.253474514,14187.91642
20000,0,1,0,0,0,2,0.796414603,2,31.33407886,1.273238329,3.783154692,5.534153254,0,0,-0.785194757,-0.586520539,1.600402964,-0.785194757,-0.586520539,1.600402964,-3.642861323,-2.721124876,5.03068304,15102.58482
20000,0,1,0,0,0,3,0.418034119,1,30.21096196,0.594016694,5.867820774,3.441894018,0,0,-0.873595407,0.385276617,-0.39123387,-0.873595407,0.385276617,-0.39123387,-4.831566949,2.130837406,-3.56273916,21672.26436
20000,0,1,0,0,0,1,3.540751793,5,31.75472581,2.089328757,2.303031709,6.078360464,0,0,0.380869087,-0.423681579,1.827899591,0.380869087,-0.423681579,1.827899591,-1.25746836,1.39881707,3.394503495,30537.6209
20000,0,1,0,0,0,3,0.24907145,1,30.8594736,1.252580537,5.673107429,1.07489148,0,0,-0.566685799,0.396133088,2.102195964,-0.566685799,0.396133088,2.102195964,-0.795698195,0.55622072,4.608116803,41972.99402
20000,0,1,0,0,0,1,0.003483965,11,31.26934212,2.809391151,0.437313313,4.572705427,0,0,-1.393879251,-0.651642058,0.972252994,-1.393879251,-0.651642058,0.972252994,-6.55409828,-3.064057442,-2.614102814,15752.42516
20000,0,1,0,0,0,1,3.98800652,1,30.77588676,1.268856464,2.308984306,2.243014545,0,0,-0.984780231,1.082446979,-0.980887613,-0.984780231,1.082446979,-0.980887613,-2.458705282,2.702550297,-3.124275467,14922.94144
20000,0,1,0,0,0,0,0.0001289,8,30.65565482,2.328947964,4.783374578,6.005715955,0,0,0.114449135,-1.609577703,-0.608606417,0.114449135,-1.609577703,-0.608606417,0.405623954,-5.70457149,3.049134619,36333.76565
20000,0,1,0,0,0,1,3.50067121,0,30.6301378,0.867610957,1.239466625,4.633986305,0,0,0.276858532,0.80479499,0.86845447,0.276858532,0.80479499,0.86845447,-1.487941259,-4.325269156,-3.989625892,19978.37654
20000,0,1,0,0,0,3,0.002099183,1,31.09421161,1.327299994,4.797887709,3.132658934,0,0,-0.081819974,0.954640023,1.147766056,-0.081819974,0.954640023,1.147766056,-0.535989945,6.253698534,9.221381745,27921.75935
20000,0,1,0,0,0,1,0.000509598,12,31.01384827,2.762812798,2.303076005,2.609530688,0,0,0.726417598,-0.808000297,-1.062402152,0.726417598,-0.808000297,-1.062402152,-0.26666102,0.296609257,-11.2666653,38940.94333
20000,0,1,0,0,0,0,0.031133787,10,31.60625143,0.312856517,1.57742808,6.080144517,0,0,0.001925356,-0.290319633,1.488881717,0.001925356,-0.290319633,1.488881717,-0.039161206,5.90501989,4.402768829,12452.11325
20000,0,1,0,0,0,1,2.951622931,2,31.49249206,1.393314992,3.775933475,0.540620192,0,0,0.331690821,0.244052904,1.212473935,0.331690821,0.244052904,1.212473935,3.104323634,2.284112648,6.140966568,12533.57863
20000,0,1,0,0,0,2,0.000517387,2,31.53545222,2.213055,4.101585994,5.362670759,0,0,-0.627397139,-0.896134701,0.515860378,-0.627397139,-0.896134701,0.515860378,-5.189437735,-7.412267194,1.893098301,18665.3289
20000,0,1,0,0,0,0,2.479213048,14,31.68790862,2.537265811,2.039662881,1.041881199,0,0,0.34677317,-0.684590786,-1.746332307,0.34677317,-0.684590786,-1.746332307,2.965477581,-5.854370524,4.070094741,78996.96882
20000,0,1,0,0,0,0,1.009498738,0,31.76895603,1.554800405,3.468101966,5.280471784,0,0,-0.318366634,-0.107808265,1.335519702,-0.318366634,-0.107808265,1.335519702,-0.524678226,-0.177671412,3.418247118,10996.5048
20000,0,1,0,0,0,3,0.648495724,7,31.91607455,2.161614947,5.775023461,0.512641872,0,0,1.934444658,-1.077384914,-0.732312052,1.934444658,-1.077384914,-0.732312052,2.325132883,-1.294977905,2.604970171,70960.23664
